Date,Open,High,Low,Close ,Adj Close ,Volume
,,,,Close price adjusted for splits.,Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,
22-Aug-25,120.89,121.36,119.82,120.46,120.46,"31,281,000"
21-Aug-25,121.14,122.14,119.76,120.62,120.62,"20,472,000"
20-Aug-25,121.8,122.3,119.33,121.39,121.39,"24,344,000"
19-Aug-25,124.02,124.1,119.28,121.42,121.42,"37,077,000"
18-Aug-25,123.56,125.12,123.54,124.51,124.51,"21,111,000"
15-Aug-25,123.4,124.69,122.79,123.89,123.89,"27,678,000"
14-Aug-25,120.99,124.41,120.7,123.06,123.06,"39,047,000"
13-Aug-25,123.4,123.71,120.3,120.44,120.44,"27,624,000"
12-Aug-25,122.5,123.2,120.65,122.53,122.53,"22,788,000"
11-Aug-25,121.4,122.31,120.19,121.83,121.83,"24,556,000"
8-Aug-25,118.32,121.41,118.04,121.16,121.16,"38,167,000"
7-Aug-25,118.18,119.12,116.82,118.04,118.04,"26,283,000"
6-Aug-25,115.35,118.14,115.19,117.85,117.85,"33,622,000"
5-Aug-25,117.1,117.17,114.47,114.79,114.79,"26,607,000"
4-Aug-25,116.76,117.7,116.26,117.1,117.1,"22,447,000"
1-Aug-25,116.3,117.85,115.29,115.86,115.86,"38,910,000"
31-Jul-25,118.48,119,115.77,115.94,115.94,"37,129,000"
30-Jul-25,116.86,118.49,116.61,118.42,118.42,"29,227,000"
29-Jul-25,117.9,117.96,116.33,116.87,116.87,"27,525,000"
28-Jul-25,118.12,119.78,116.85,117.46,117.46,"34,470,000"
25-Jul-25,117.84,118.73,117.44,118.05,118.05,"26,293,000"
24-Jul-25,117.78,118.35,116.27,118.08,118.08,"38,456,000"
23-Jul-25,118.98,119.26,117.36,117.68,117.68,"45,043,000"
22-Jul-25,123.04,123.24,118.75,119.01,119.01,"50,630,000"
21-Jul-25,120.6,123.71,119.8,123.33,123.33,"56,276,000"
18-Jul-25,124.2,124.65,120.1,120.92,120.92,"106,933,000"
17-Jul-25,125.3,127.75,124.48,127.42,127.42,"64,699,000"
16-Jul-25,126.17,127.1,124.98,125.03,125.03,"32,270,000"
15-Jul-25,126.2,127.12,124.32,126.03,126.03,"28,017,000"
14-Jul-25,124.49,127.05,124,126.19,126.19,"27,810,000"
11-Jul-25,125.98,126.1,123.13,124.51,124.51,"39,572,000"
10-Jul-25,128.55,128.96,124.6,125.06,125.06,"42,308,000"
9-Jul-25,127.4,128.83,126.62,128.83,128.83,"23,845,000"
8-Jul-25,129.09,129.32,126,127.53,127.53,"32,925,000"
7-Jul-25,129.5,129.5,127.6,128.96,128.96,"22,737,000"
3-Jul-25,129.2,130.23,127.98,129.72,129.72,"20,062,000"
2-Jul-25,129.7,129.99,127.16,128.49,128.49,"30,488,000"
1-Jul-25,133.82,133.88,128.22,129.36,129.36,"49,936,000"
30-Jun-25,133.1,134.12,132.12,133.91,133.91,"32,829,000"
27-Jun-25,130.69,133.13,130.1,132.31,132.31,"40,709,000"
26-Jun-25,128,130.73,128,130.67,130.67,"26,059,000"
25-Jun-25,128.68,129.8,127.38,127.53,127.53,"21,465,000"
24-Jun-25,126.06,128.26,125.5,127.91,127.91,"26,633,000"
23-Jun-25,123.8,125.48,121.5,125.35,125.35,"26,673,000"
20-Jun-25,123.44,124.85,122.43,123.14,123.14,"53,482,000"
18-Jun-25,123,124.2,122.05,122.23,122.23,"22,810,000"
17-Jun-25,122,123.24,121.61,122.07,122.07,"18,921,000"
16-Jun-25,121.22,122.63,121.22,122.54,122.54,"21,128,000"
13-Jun-25,120.66,122.06,120.19,121.21,121.21,"22,103,000"
12-Jun-25,122.26,123,121.2,121.5,121.5,"20,846,000"
11-Jun-25,120.26,122.83,119.6,121.99,121.99,"23,823,000"
10-Jun-25,122.75,122.75,118.06,120.36,120.36,"44,544,000"
9-Jun-25,123.89,123.89,122.16,122.45,122.45,"24,031,000"
6-Jun-25,125.94,126,123.56,124.15,124.15,"25,570,000"
5-Jun-25,124.06,126.28,123.73,125.05,125.05,"28,172,000"
4-Jun-25,122.07,124.26,121.99,123.97,123.97,"23,594,000"
3-Jun-25,121.99,122.96,121.12,121.79,121.79,"23,638,000"
2-Jun-25,120.12,121.94,119.63,121.9,121.9,"22,942,000"
30-May-25,119.83,121.18,118.09,120.72,120.72,"46,968,000"
29-May-25,120.8,120.9,117.63,118.49,118.49,"33,007,000"
28-May-25,121.03,121.59,120.6,120.86,120.86,"18,559,000"
27-May-25,119.53,121.18,119.31,121.16,121.16,"29,205,000"
23-May-25,118.4,119.14,117.94,118.54,118.54,"21,865,000"
22-May-25,119.24,119.88,118.72,118.8,118.8,"18,616,000"
21-May-25,118.65,121.12,118.65,119.46,119.46,"29,766,000"
20-May-25,118.68,119.3,117.9,119.2,119.2,"21,331,000"
19-May-25,117.36,119.16,117.17,119.16,119.16,"28,534,000"
16-May-25,119.31,119.65,117.94,119.15,119.15,"46,984,000"
15-May-25,114.77,118.78,114.76,117.8,117.8,"44,640,000"
14-May-25,112.96,115.29,112.84,115.1,115.1,"39,101,000"
13-May-25,111.45,114.79,110.63,113.84,113.84,"39,979,000"
12-May-25,112.43,113,110.29,111,111,"64,791,000"
9-May-25,114.71,115.1,113.32,114.02,114.02,"25,696,000"
8-May-25,116.16,116.23,113.92,114.44,114.44,"37,609,000"
7-May-25,113.92,116.4,113.8,115.54,115.54,"43,497,000"
6-May-25,112.94,114.77,112.64,113.77,113.77,"32,567,000"
5-May-25,111.48,114.4,110.7,113.41,113.41,"56,623,000"
2-May-25,113.67,115.94,113.33,115.65,115.65,"37,743,000"
1-May-25,112.25,114.24,111.18,113.35,113.35,"34,995,000"
30-Apr-25,111.26,113.32,110.11,113.17,113.17,"42,667,000"
29-Apr-25,110.39,112.78,109.55,112.56,112.56,"37,773,000"
28-Apr-25,110,111.4,108.26,111.04,111.04,"38,311,000"
25-Apr-25,109.7,110.68,109.1,110.15,110.15,"39,500,000"
24-Apr-25,104.8,110.1,104.7,109.69,109.69,"63,819,000"
23-Apr-25,104.72,106.13,103.2,104.96,104.96,"64,719,000"
22-Apr-25,100.53,106.5,100.45,104.03,104.03,"93,689,000"
21-Apr-25,98.44,101.9,97.31,98.79,98.79,"97,757,000"
17-Apr-25,96.9,98.47,95.6,97.3,97.3,"88,937,000"
16-Apr-25,97.63,98.12,94.92,96.16,96.16,"60,661,000"
15-Apr-25,95,99.35,94.8,97.63,97.63,"77,120,000"
14-Apr-25,93.27,94.9,91.95,93.13,93.13,"40,359,000"
11-Apr-25,92,94.49,90.67,91.83,91.83,"40,736,000"
10-Apr-25,93.19,94.12,89.4,92.12,92.12,"51,298,000"
9-Apr-25,85.59,95.14,85.44,94.55,94.55,"74,980,000"
8-Apr-25,91.24,92.24,85.77,87.04,87.04,"56,254,000"
7-Apr-25,82.79,90.67,82.11,86.78,86.78,"66,568,000"
4-Apr-25,89.65,90.66,85.39,85.59,85.59,"67,988,000"
3-Apr-25,90.18,94.66,90.05,91.71,91.71,"58,646,000"
2-Apr-25,92.3,94.96,91.61,93.55,93.55,"32,569,000"
1-Apr-25,92.75,93.23,91.15,92.84,92.84,"35,200,000"
31-Mar-25,92.05,93.45,90.06,93.25,93.25,"46,341,000"
28-Mar-25,97.2,97.5,92.92,93.39,93.39,"44,227,000"
27-Mar-25,97.42,98.9,96.64,97.67,97.67,"30,472,000"
26-Mar-25,99.38,99.68,96.63,97.07,97.07,"35,274,000"
25-Mar-25,97.82,99.87,97.71,99.73,99.73,"37,822,000"
24-Mar-25,96.97,97.7,95.15,97.2,97.2,"46,779,000"
21-Mar-25,94.16,96.36,94.1,96.03,96.03,"59,054,000"
20-Mar-25,95,96.7,94.55,95.08,95.08,"44,663,000"
19-Mar-25,93.58,96.8,92.4,95.95,95.95,"66,624,000"
18-Mar-25,94,94.82,91.63,93,93,"60,094,000"
17-Mar-25,94,96.76,93.44,95,95,"75,431,000"
14-Mar-25,90.15,91.96,90.1,91.8,91.8,"52,007,000"
13-Mar-25,91.3,92.19,88.75,89.02,89.02,"50,017,000"
12-Mar-25,91.46,92.72,90.1,91.97,91.97,"68,658,000"
11-Mar-25,86.74,91.07,86.6,89.51,89.51,"73,989,000"
10-Mar-25,87.51,88.13,85.45,86.67,86.67,"69,953,000"
7-Mar-25,89.76,90.49,85.81,89.11,89.11,"77,375,000"
6-Mar-25,97.3,97.37,89.9,90.64,90.64,"78,526,000"
5-Mar-25,97.36,99.56,96.95,99.09,99.09,"38,079,000"
4-Mar-25,97.16,98.63,94.82,97.26,97.26,"43,928,000"
3-Mar-25,98.3,99.49,96.48,97.37,97.37,"39,074,000"
28-Feb-25,96.96,98.23,95.82,98.06,98.06,"47,174,000"
27-Feb-25,99.5,100.07,96.18,96.31,96.31,"37,666,000"
26-Feb-25,97.76,100.09,97.69,99.01,99.01,"33,972,000"
25-Feb-25,98.94,99.44,95.5,97.72,97.72,"47,383,000"
24-Feb-25,100.8,101.52,98.45,98.85,98.85,"44,262,000"
21-Feb-25,102.94,103.24,99.94,100.32,100.32,"37,387,000"
20-Feb-25,104.2,104.5,101.56,102.45,102.45,"31,118,000"
19-Feb-25,103.52,104.5,102.45,104.33,104.33,"26,000,000"
18-Feb-25,106,106.2,102.38,103.58,103.58,"42,293,000"
14-Feb-25,104.5,106.45,104.17,105.86,105.86,"31,454,000"
13-Feb-25,102.66,104.6,102.51,104.37,104.37,"34,761,000"
12-Feb-25,100.55,102.77,99.83,102.73,102.73,"33,890,000"
11-Feb-25,102.08,102.27,100.29,100.81,100.81,"33,318,000"
10-Feb-25,102.31,103.29,101.59,102.76,102.76,"32,966,000"
7-Feb-25,101.7,102.78,100.57,101.39,101.39,"32,129,000"
6-Feb-25,100.79,101.64,100.26,101.57,101.57,"31,343,000"
5-Feb-25,98.77,101.18,98.67,101.11,101.11,"39,934,000"
4-Feb-25,98.05,100.8,97.85,99.49,99.49,"60,001,000"
3-Feb-25,97.3,98.77,96.44,97.89,97.89,"37,242,000"
31-Jan-25,97.4,99.03,97.4,97.68,97.68,"36,151,000"
30-Jan-25,98.68,99.46,97,97.32,97.32,"38,678,000"
29-Jan-25,98,98.76,96.82,97.82,97.82,"29,307,000"
